测试点,测试点,相似度
"[19, 5, 2]","[23, 6, 8]",0.46499604586345744
"[3, 4, 1]","[3, 3, 7]",0.20712492001000907
"[7, 3, 4]","[7, 2, 2]",0.18252277288460364
"[12, 6, 4]","[15, 8, 2]",0.4972458413373149
"[4, 3, 3]","[3, 3, 1]",0.19275787529055868
"[7, 7, 4]","[7, 8, 2]",0.4705291313982425
"[4, 8, 4]","[3, 8, 2]",0.3356732078035768
"[24, 2, 4]","[23, 3, 2]",0.48515110134852535
"[7, 3, 5]","[3, 3, 3]",0.3358382198180145
"[7, 7, 2]","[7, 8, 8]",0.3859157542879444
"[25, 4, 4]","[23, 3, 2]",0.3267652822616421
"[25, 5, 1]","[26, 6, 7]",0.2614609399290901
"[26, 2, 1]","[26, 3, 7]",0.5004737591201731
"[24, 2, 1]","[26, 3, 7]",0.46303533689508725
"[24, 5, 2]","[26, 3, 8]",0.31137277625210297
"[4, 8, 2]","[7, 8, 8]",0.433041118083927
"[7, 3, 3]","[7, 2, 1]",0.18334847374502428
"[18, 3, 1]","[23, 3, 7]",0.4199133267561468
"[13, 3, 1]","[23, 3, 7]",0.593508472922573
"[10, 7, 1]","[11, 8, 7]",0.3260474997172517
"[9, 3, 4]","[7, 2, 2]",0.2145481238949134
"[29, 2, 1]","[18, 2, 7]",0.3930109539196419
"[3, 4, 4]","[3, 3, 2]",0.16579036230898878
"[3, 7, 3]","[3, 8, 1]",0.31585852886138494
"[25, 5, 4]","[26, 6, 2]",0.38210689144865734
"[27, 6, 3]","[26, 6, 1]",0.08193411981578738
"[25, 4, 2]","[26, 3, 8]",0.22099341798355282
"[27, 6, 5]","[26, 6, 3]",0.10584160269931672
"[26, 2, 4]","[26, 3, 2]",0.3709895685807547
"[2, 10, 5]","[7, 8, 3]",0.42161523474489143
"[8, 10, 2]","[3, 8, 1]",0.3972877300589611
"[12, 2, 5]","[3, 3, 3]",0.3986413315526418
"[24, 5, 3]","[23, 3, 1]",0.3919099481618225
"[18, 3, 3]","[18, 2, 1]",0.2542664638647927
"[5, 4, 5]","[3, 3, 3]",0.3379718221078801
"[13, 3, 3]","[13, 2, 1]",0.37836392498292803
"[3, 7, 2]","[3, 8, 8]",0.445200278806169
"[5, 4, 1]","[26, 3, 3]",0.42370189869622066
"[6, 7, 5]","[3, 8, 3]",0.23790323233736616
"[25, 5, 3]","[26, 3, 1]",0.39929392604005765
"[7, 5, 3]","[3, 3, 1]",0.3606092505225663
"[26, 2, 5]","[26, 3, 3]",0.5318378985098733
"[12, 6, 3]","[23, 3, 1]",0.6625445997089587
"[10, 7, 4]","[11, 8, 2]",0.3529001607973174
"[25, 4, 1]","[23, 3, 7]",0.38293660202760804
"[10, 8, 4]","[11, 8, 2]",0.1677422064974799
"[6, 2, 5]","[13, 2, 3]",0.4258298479174627
